"v_family","v_3p_del","proportions"
"IGHVF1",62,2.49358939725788e-06
"IGHVF1",63,2.49358939725788e-06
"IGHVF1",70,8.31196465752628e-07
"IGHVF1",71,1.66239293150526e-06
"IGHVF1",75,1.66239293150526e-06
"IGHVF1",77,2.49358939725788e-06
"IGHVF1",78,2.49358939725788e-06
"IGHVF1",90,8.31196465752628e-07
"IGHVF1",97,8.31196465752628e-07
"IGHVF2",0,0.478989431336938
"IGHVF2",1,0.262163521280708
"IGHVF2",2,0.0952135551519635
"IGHVF2",3,0.103338500604695
"IGHVF2",4,0.0212337449141166
"IGHVF2",5,0.0175241150874626
"IGHVF2",6,0.00970671232705918
"IGHVF2",7,0.00456326859698193
"IGHVF2",8,0.00447266818221489
"IGHVF2",9,0.00151693354999855
"IGHVF2",10,0.000364064051999651
"IGHVF2",11,0.000250190136191541
"IGHVF2",12,0.000110549129945099
"IGHVF2",13,7.48076819177365e-05
"IGHVF2",14,6.73269137259628e-05
"IGHVF2",15,7.73012713149944e-05
"IGHVF2",16,5.90149490684366e-05
"IGHVF2",17,3.82350374246209e-05
"IGHVF2",18,3.65726444931156e-05
"IGHVF2",19,2.74294833698367e-05
"IGHVF2",20,1.82863222465578e-05
"IGHVF2",21,1.24679469862894e-05
"IGHVF2",22,1.66239293150526e-05
"IGHVF2",23,9.1431611232789e-06
"IGHVF2",24,9.97435758903153e-06
"IGHVF2",25,4.98717879451577e-06
"IGHVF2",26,1.24679469862894e-05
"IGHVF2",27,1.66239293150526e-06
"IGHVF2",28,5.81837526026839e-06
"IGHVF2",29,7.48076819177365e-06
"IGHVF2",30,2.49358939725788e-06
"IGHVF2",31,5.81837526026839e-06
"IGHVF2",32,2.49358939725788e-06
"IGHVF2",33,4.15598232876314e-06
"IGHVF2",34,1.66239293150526e-06
"IGHVF2",35,3.32478586301051e-06
"IGHVF2",36,8.31196465752628e-07
"IGHVF2",37,1.66239293150526e-06
"IGHVF2",38,2.49358939725788e-06
"IGHVF2",39,8.31196465752628e-07
"IGHVF2",40,8.31196465752628e-07
"IGHVF2",41,2.49358939725788e-06
"IGHVF2",43,1.66239293150526e-06
"IGHVF2",44,4.15598232876314e-06
"IGHVF2",45,8.31196465752628e-07
"IGHVF2",47,8.31196465752628e-07
"IGHVF2",50,8.31196465752628e-07
"IGHVF2",51,8.31196465752628e-07
"IGHVF2",52,8.31196465752628e-07
"IGHVF2",53,3.32478586301051e-06
"IGHVF2",54,8.31196465752628e-07
"IGHVF2",56,3.32478586301051e-06
"IGHVF2",58,7.48076819177365e-06
"IGHVF2",59,2.49358939725788e-06
"IGHVF2",60,8.31196465752628e-07
"IGHVF2",62,2.49358939725788e-06
"IGHVF2",63,2.49358939725788e-06
